symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Respiratory,Bronchitis,Profuse mucus; rattling in chest; salty expectoration; weekly periodicity,Stannum metallicum,Tin,30C,3–5 pellets,Twice daily,Lying on affected side,"Exertion, laughing, talking",Extreme weakness; empty gone feeling in chest; expectoration sweet/salty,Tubercular,Pure tin metal,Gradual onset bronchitis,
ENT,Earache – throbbing,Throbbing earache; high fever; worse right side; child cries out in sleep,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Warmth, semi-erect position","Motion, jar, light, noise",Sudden onset; high fever; hot red face; drum-like fullness,Psora,Berries and root Atropa belladonna,Classic otitis media remedy,
Neurological,Headache – migraine,"Throbbing one-sided headache; worse light, noise, motion; nausea vomiting",Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Pressure, sitting semi-erect in dark room","Light, noise, motion, heat, jarring",Sudden violent throbbing; hot red face; dilated pupils; no thirst,Psora,Berries and root Atropa belladonna,"Key: hot, red, throbbing, rapid onset",
Paediatric,Tonsillitis – left-sided,Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,3 times daily,"Cold drinks, open air","After sleep, hot drinks, touch, pressure",Left-sided; cannot bear tight collar; loquacious; jealous,Syphilis,Venom Lachesis muta snake,Wakes with pain; worse after sleep,
Musculoskeletal,Sprains – acute,Acute sprain; torn ligaments; worse motion; hot swollen bruised feeling,Arnica montana,Mountain Arnica,30C,3–5 pellets,Every 1–2 hrs initially,"Rest, lying down","Touch, motion, jar",Bruised sore feeling everywhere; says nothing is wrong; refuses help,Psora,Whole plant Arnica montana,First remedy in any injury,
Digestive,Gastric ulcer,Burning pain in stomach 2–3 hrs after eating; better eating; gnawing hunger,Anacardium orientale,Marking Nut,30C,3–5 pellets,Before meals,Eating,"Hunger, 11 am",Symptoms relieved by eating; feels better with full stomach; mental symptoms,Psora,Kernel Anacardium orientale,Eating relieves all symptoms is keynote,
Digestive,Irritable Bowel Syndrome,Alternating diarrhoea and constipation; mucus in stool; stress aggravation,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly (not daily),"Dry weather, open air","11 am, warmth, bathing, standing",Heat; burning; redness of orifices; morning diarrhoea; skin eruptions,Psora,Sulphur element,Do not give too frequently,
ENT,Tonsillitis – right-sided,Right-sided tonsillitis; pains extend to ear on swallowing; worse cold drinks,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,Warmth,"Cold drinks, touch, jar",Bright red tonsils; high fever; sudden onset; hot dry skin,Psora,Berries and root Atropa belladonna,,
Skin,Boils/Furuncles,Boils with much pus formation; extremely sensitive to touch and cold,Hepar sulphuris calcareum,Calcium Sulphide,6C (low promotes discharge),3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, drafts, slightest touch",Splinter-like pains; offensive discharge; chilly; hypersensitive to pain,Psora,Calcium sulphide compound,6C promotes suppuration; 200C aborts,
Cardiovascular,Hypertension,High blood pressure; throbbing headache; red face; excitement aggravation,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,
Respiratory,Croup,Barking croupy cough; worse before midnight; child wakes frightened,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute phase,"Cool air, rest","Midnight, cold dry wind",Sudden onset after cold dry wind exposure; fear and anxiety,Psora,Fresh plant Aconitum napellus,Often alternated with Hepar sulph,
Trauma,Puncture wounds,Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus,Ledum palustre,Marsh Labrador Tea,30C,3–5 pellets,Every 2–3 hrs for 24–48 hrs,Cold applications,"Warmth, motion, night",Cold relieves; part is cold to touch; ecchymosis; black eye from blow,Psora,Whole plant Ledum palustre,Cold applications relieve is keynote,
Respiratory,Post-nasal drip,Constant hawking; mucus from posterior nares; throat clearing,Hydrastis canadensis,Goldenseal,30C,3–5 pellets,3 times daily,Warm drinks,"Cold air, empty stomach",Thick ropy yellow mucus; weak digestion; atonic mucous membranes,Psora,Root Hydrastis canadensis,Tonic for mucous membranes,
ENT,Conjunctivitis – purulent,Purulent thick yellow-green discharge; worse morning; eyes stuck shut,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold applications","Warm room, evening",Bland non-irritating discharge; mild disposition; weepy; thirstless,Psora/Sycosis,Whole plant Pulsatilla nigricans,,
Metabolic,Hyperthyroidism,Weight loss; palpitations; exophthalmos; trembling; heat intolerance; anxiety,Iodum,Iodine,30C,3–5 pellets,Twice daily,"Eating, cold, motion","Warm room, evening",Emaciation despite eating; restless; cannot keep still; anxiety,Tubercular,Iodine element I,Specialist guidance essential,
Infections,Chickenpox,Itching vesicular eruptions; worse at night; one crop follows another,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Intense itch; restlessness; triangular red tip of tongue,Psora,Leaves Toxicodendron radicans,Classic chickenpox remedy,
Dental,Toothache – worse warmth,Toothache worse from warmth; better cold water; worse at night,Coffea cruda,Unroasted Coffee,30C,3–5 pellets,Every 30–60 min in acute,Cold water held in mouth,"Warmth, night, excitement",Intolerance of pain; sleeplessness; excessive sensitiveness; toothache in nursing,Psora,Unroasted Coffea arabica,Cold water held in mouth relieves,
Neurological,Insomnia – from overactive mind,Cannot sleep; mind overactive with business thoughts; wakeful 3 am,Nux vomica,Poison Nut,30C,3–5 pellets,At bedtime,"Short nap, open air","Mental overwork, midnight, 3 am",Wakes 3–4 am; sleepy in morning; irritable; catnapping,Psora,Seeds Strychnos nux-vomica,Classic executive insomnia,
Metabolic,Diabetes – management support,Excessive thirst and urination; weakness; sugar craving; slow healing wounds,Uranium nitricum,Uranium Nitrate,30C,3–5 pellets,Twice daily,,,Diabetes with great emaciation; hepatic and renal involvement,Psora/Sycosis,Uranium nitrate compound,Adjunctive only; monitor glucose,
Respiratory,Common Cold – profuse watery discharge,Excoriating nasal discharge; bland eye discharge; worse indoors; better open air,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,
Respiratory,Common Cold – early stage,Sudden onset cold after exposure to cold dry wind; sneezing; watery discharge; fever; restlessness,Aconitum napellus,Monkshood,30C,3–5 pellets,"Every 2–4 hrs at onset, reduce as improved","Rest, open air","Cold dry wind, night, fright",Great fear and anxiety; sudden violent onset; thirst for cold water,Psora,Fresh plant Aconitum napellus,Do not continue beyond 48 hrs,
Musculoskeletal,Backache – lumbar,"Lower back pain; worse first motion, better continued motion; worse cold damp",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,
Trauma,Burns – minor,Minor burns; scalds; worse touch; vesicles; raw burning pain,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Touch, urinating, coffee",Burning rawness; urinary symptoms; inflammation of any kind,Psora,Dried beetle Cantharis vesicatoria,,
Respiratory,Asthma – spasmodic,Violent spasmodic asthma; worse midnight; has to sit up; fear of suffocation,Arsenicum album,White Arsenic,30C,3–5 pellets,Every 30 min in acute; 3x daily for chronic,"Warmth, sitting upright","Midnight–2 am, cold",Burning relieved by warmth; restlessness; anxiety; thirst for sips,Psora/Tubercular,White arsenic trioxide,Key: burning + cold + midnight + restlessness,
Urinary,"UTI – scalding, must hurry",Must run to urinate; scalding urine; worse sitting; tenesmus of bladder,Mercurius corrosivus,Corrosive Sublimate,30C,3–5 pellets,Every 2–3 hrs,Rest,"Night, sweat",Intense tenesmus; never-get-done feeling; bloody urine,Syphilis,Mercuric chloride compound,Most intense tenesmus of any remedy,
Skin,Acne – cystic,Cystic acne; indurated nodules; slow to suppurate; worse right side,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, touch, draft",Extreme sensitivity to cold and touch; suppuration; splinter-like pains,Psora,Calcium sulphide compound,Promotes suppuration if given in low potency,
Skin,Eczema – dry itching,Dry rough scaly skin; intense itching worse at night and warmth of bed; bleeds on scratching,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,"Open air, dry weather","Night, warmth of bed, bathing, 11 am",Dirty-looking skin; burning; aversion to bathing; philosophical tendency,Psora,Sulphur element,Constitutional remedy for psoric patients,
Trauma,Bruising – injuries,Any injury with bruising and soreness; everything feels bruised; bed feels hard,Arnica montana,Mountain Arnica,30C,3–5 pellets,Every 1–2 hrs initially then reducing,Rest,"Touch, motion, jar",Refuses help; says nothing is wrong despite being injured; fear of being touched,Psora,Whole plant Arnica montana,First remedy for all injuries,
Infections,Cellulitis,Spreading red inflammation; streaks; heat; swelling; pitting oedema,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,Cold applications,"Heat, pressure, touch, 3 pm",Stinging burning pains; oedema; no thirst; rosy hue,Sycosis,Honey bee Apis mellifica,Any oedematous condition,
Respiratory,Yellow–green thick expectoration,Thick yellow–green non-irritating discharge; loss of smell; worse warm room,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold, motion","Warm stuffy room, evening",Changeable symptoms; weepy mild disposition; thirstless,Psora/Sycosis,Whole plant Pulsatilla nigricans,One of the most frequently used polychrests,
Fever,Low-grade chronic fever,Low-grade afternoon fever; night sweats; weight loss; exhaustion,Phosphorus,Phosphorus,30C,3–5 pellets,Twice daily,"Cold, cold drinks","Twilight, lying on left side, warm",Burning in chest; tall slender build; craves cold food; haemorrhagic tendency,Tubercular,Phosphorus element,Consider tubercular miasm,
Cardiovascular,Hypertension,High blood pressure; throbbing headache; red face; excitement aggravation,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,
Digestive,Diarrhoea – watery,Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am,Podophyllum peltatum,May Apple,30C,3–5 pellets,Every 2–3 hrs,"Lying on stomach, rubbing abdomen","Morning, 4–5 am, hot weather, teething",Gushing profuse stool; offensive; liver complaints; teething children,Psora,Root Podophyllum peltatum,Gurgling before stool is keynote,
Musculoskeletal,Backache – lumbar,"Lower back pain; worse first motion, better continued motion; worse cold damp",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,
Women's Health,PCOS,Irregular periods; acne; weight gain; hirsutism; mood changes,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, cold bathing","Heat, sun, 9–11 am",Hormonal imbalance; craves salt; maps tongue; reserved; grief aetiology,Psora,Sodium chloride NaCl,Constitutional treatment,
Respiratory,Common Cold – bland nasal discharge,Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3–4 times daily,"Indoors, dim light","Open air, wind, light",Acrid eye discharge + bland nasal discharge (opposite of Allium cepa),Psora,Whole plant Euphrasia officinalis,Especially for eye symptoms,
Digestive,Diarrhoea – offensive,Offensive cadaverous-smelling stool; involuntary; worse after eating or drinking,Arsenicum album,White Arsenic,30C,3–5 pellets,Every 2–3 hrs,Warmth,"Midnight, cold, after eating",Burning in rectum; exhaustion; anxiety; restlessness; thirst for sips,Psora,White arsenic trioxide,"Key: burning, restless, anxious + exhausted",
Digestive,Flatulence,Excessive gas; bloated abdomen; worse after eating; cannot pass gas,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,
Musculoskeletal,Fibromyalgia,All-over body aching; worse cold; fatigue; sleep disturbance; tender points,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,
Infections,Sepsis – early stage,Early signs of blood poisoning; foul smelling discharge; hectic fever,Pyrogen,Pyrogenium,30C,3–5 pellets,Every 2–4 hrs (alongside conventional treatment),Motion,,Bed feels hard; rapid pulse with low fever or slow pulse with high fever (discrepancy),Syphilis,Decomposed meat preparation,Pulse/temperature discrepancy is keynote; NOT a replacement for antibiotics,
Skin,Eczema – weeping,Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,
Digestive,Flatulence,Excessive gas; bloated abdomen; worse after eating; cannot pass gas,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,
Dental,Toothache – worse warmth,Toothache worse from warmth; better cold water; worse at night,Coffea cruda,Unroasted Coffee,30C,3–5 pellets,Every 30–60 min in acute,Cold water held in mouth,"Warmth, night, excitement",Intolerance of pain; sleeplessness; excessive sensitiveness; toothache in nursing,Psora,Unroasted Coffea arabica,Cold water held in mouth relieves,
Women's Health,Irregular periods – scanty,Scanty late periods; chilly; weeping; changeable symptoms,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold, gentle motion","Warm room, evening, rich food",Weepy mild yielding disposition; thirstless; delayed menses from cold feet,Psora/Sycosis,Whole plant Pulsatilla nigricans,Classic Pulsatilla type,
Metabolic,Diabetes – management support,Excessive thirst and urination; weakness; sugar craving; slow healing wounds,Uranium nitricum,Uranium Nitrate,30C,3–5 pellets,Twice daily,,,Diabetes with great emaciation; hepatic and renal involvement,Psora/Sycosis,Uranium nitrate compound,Adjunctive only; monitor glucose,
Urinary,Enlarged prostate,Frequent urination; dribbling; must wait for stream; worse cold,Sabal serrulata,Saw Palmetto,30C,3–5 pellets,3 times daily,Warmth,"Cold, night",Enlargement of prostate and mammae; sexual debility; spermatorrhoea,Sycosis,Berries Serenoa repens,Classic BPH remedy,
Skin,Acne – pustular,Pustular acne on face; worse at puberty; worse during menses; comedones,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,
Skin,Herpes – simplex,"Burning vesicular eruptions around mouth; worse fever, sun exposure",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Continuous motion, warmth","Rest, cold, first motion",Intense itching and burning; restlessness; triangle of red on tip of tongue,Psora/Sycosis,Leaves Toxicodendron radicans,Classic for herpes and shingles,
Fever,Fever with bone pain,Fever with deep bone aching; chills up and down spine; thirst only during chill,Eupatorium perfoliatum,Boneset,30C,3–5 pellets,Every 3–4 hrs in acute,"Sweating, vomiting","Cold, 7–9 am",Aching as if bones broken; bilious vomiting; weakness,Psora,Whole plant Eupatorium perfoliatum,Flu-like bone aching,
Paediatric,Colic – wind,Baby draws legs up with pain; wind; gas; better warmth,Magnesia phosphorica,Magnesium Phosphate,30C dissolved in warm water,3–5 pellets,Every 15–30 min,"Warmth, pressure, warm drinks","Cold, night",Cramping; flatulent colic; better warmth and pressure applied,Psora,Magnesium phosphate salt,Dissolve in warm water for colic,
Trauma,Burns – minor,Minor burns; scalds; worse touch; vesicles; raw burning pain,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Touch, urinating, coffee",Burning rawness; urinary symptoms; inflammation of any kind,Psora,Dried beetle Cantharis vesicatoria,,
Cardiovascular,Hypertension,High blood pressure; throbbing headache; red face; excitement aggravation,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,
Metabolic,Hyperthyroidism,Weight loss; palpitations; exophthalmos; trembling; heat intolerance; anxiety,Iodum,Iodine,30C,3–5 pellets,Twice daily,"Eating, cold, motion","Warm room, evening",Emaciation despite eating; restless; cannot keep still; anxiety,Tubercular,Iodine element I,Specialist guidance essential,
Trauma,Burns – minor,Minor burns; scalds; worse touch; vesicles; raw burning pain,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Touch, urinating, coffee",Burning rawness; urinary symptoms; inflammation of any kind,Psora,Dried beetle Cantharis vesicatoria,,
Paediatric,Tonsillitis – left-sided,Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,3 times daily,"Cold drinks, open air","After sleep, hot drinks, touch, pressure",Left-sided; cannot bear tight collar; loquacious; jealous,Syphilis,Venom Lachesis muta snake,Wakes with pain; worse after sleep,
Cardiovascular,Hypertension,High blood pressure; throbbing headache; red face; excitement aggravation,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,
Digestive,Nausea during pregnancy,Morning sickness; constant nausea; worse smell of food; aversion to food,Sepia officinalis,Cuttlefish Ink,30C,3–5 pellets,3 times daily,"Exercise, eating","Morning, smell of food, lying on sides",Indifference; bearing-down sensation; sallow complexion; craves vinegar,Psora/Sycosis,Ink of Sepia officinalis,Important for women's complaints,
ENT,Earache – chronic otitis,Chronic ear discharge; offensive pus; worse cold drafts; very sensitive,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping ears","Cold, draft, touch",Extreme cold and touch sensitivity; splinter-like pains; offensive pus,Psora,Calcium sulphide compound,Protects from cold at all costs,
Digestive,Vomiting after eating,Vomiting immediately after eating; cannot keep anything down; nausea,Phosphorus,Phosphorus,30C,3–5 pellets,Every 2–3 hrs,"Cold drinks, cold food",Warm drinks (vomit when they become warm),Desires cold drinks which are then vomited when they become warm,Psora/Tubercular,Phosphorus element,Tall slender individuals,
Trauma,Post-surgical recovery,After surgery; prevents sepsis; promotes healing; reduces bruising from incisions,Staphysagria,Stavesacre,30C,3–5 pellets,Twice daily for 1 week post surgery,,,Incised wounds; consequences of surgical procedures; indignation; hypersensitivity,Psora,Seeds Delphinium staphisagria,Classic post-surgical remedy after Arnica,
Mental,OCD / perfectionism,Obsessive compulsive traits; anxiety about health; fastidious; fears germs,Arsenicum album,White Arsenic,30C,3–5 pellets,Twice daily,"Warmth, warmth of bed, company","Cold, midnight, alone",Need for order and cleanliness; fear of poverty; restless anxious,Psora/Tubercular,White arsenic trioxide,Classic perfectionist type,
Paediatric,Teething – irritable infant,Extreme irritability during teething; one cheek red one pale; better carried,Chamomilla,Chamomile,30C,3–5 pellets or liquid on gums,Every 30 min during acute,"Being carried, warm wet weather","Anger, dentition, cold, night",Cannot tolerate pain; green diarrhoea; wants things then pushes away,Psora,Whole plant Matricaria chamomilla,Key: only quiet when carried,
Neurological,Sciatica,Shooting burning pain along sciatic nerve; worse right side; worse sitting on cold stone,Gnaphalium polycephalum,Cudweed,30C,3–5 pellets,3 times daily,"Drawing up leg, lying down","Cold, motion",Intense pain with numbness alternating; right-sided sciatica,Psora,Whole plant Gnaphalium polycephalum,Numbness alternating with pain is keynote,
Musculoskeletal,Fibromyalgia,All-over body aching; worse cold; fatigue; sleep disturbance; tender points,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,
Skin,Psoriasis,Thick silvery scales; red patches; worse in winter; itching,Arsenicum iodatum,Arsenic Iodide,30C,3–5 pellets,Twice daily,"Dry weather, motion","Cold, winter, night",Persistent irritating corrosive discharge; emaciation; psoriatic arthritis,Tubercular,Arsenic iodide compound,Deep acting for resistant psoriasis,
Women's Health,PCOS,Irregular periods; acne; weight gain; hirsutism; mood changes,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, cold bathing","Heat, sun, 9–11 am",Hormonal imbalance; craves salt; maps tongue; reserved; grief aetiology,Psora,Sodium chloride NaCl,Constitutional treatment,
Neurological,Insomnia – sleepless after loss,"Sleeplessness after grief, disappointment, or loss of loved one",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,
Skin,Ringworm,Ringworm of scalp or body; bald spots; scaly itching eruptions,Sepia officinalis,Cuttlefish Ink,30C,3–5 pellets,Twice daily,"Exercise, warmth","Cold, before menses, morning",,,,,
Cardiovascular,Anaemia,Weakness; pallor; palpitations; dyspnoea; from blood loss or poor nutrition,Ferrum metallicum,Iron,30C,3–5 pellets,Twice daily,"Slow motion, heat","Rest, cold, eating at midnight",Pseudo-plethora (flushes easily); anaemia; hammering headache; weakness,Psora,Iron metal Fe,Flushing easily despite anaemia is keynote,
Skin,Eczema – weeping,Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,
Urinary,UTI – burning urination,Frequent burning urination; scanty urine; violent urging; cannot hold urine,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 2–3 hrs in acute,Rest,"Urination, coffee, cold water","Burning raw pains before, during and after urination; intense sexual desire",Psora,Dried blister beetle Cantharis vesicatoria,Classic UTI remedy,
Skin,Eczema – weeping,Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,
Respiratory,Whooping cough,Paroxysmal cough ends in vomiting; child stiffens and turns blue during cough,Drosera rotundifolia,Sundew,30C,3–5 pellets,Every 2–4 hrs,Open air,"Lying down, after midnight, warmth",Cough as soon as head touches pillow; barking; holds sides when coughing,Tubercular,Whole plant Drosera rotundifolia,Hahnemann's chief remedy for whooping cough,
Digestive,Constipation,No urge for stool; hard dry stool; ineffectual urging; sedentary lifestyle,Nux vomica,Poison Nut,30C,3–5 pellets,Twice daily,"Open air, damp weather","Morning, mental exertion, stimulants",Constant ineffectual urging; irritable bowel; incomplete evacuation feeling,Psora,Seeds Strychnos nux-vomica,Classic sedentary person remedy,
Musculoskeletal,Backache – lumbar,"Lower back pain; worse first motion, better continued motion; worse cold damp",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,
Digestive,Diarrhoea – offensive,Offensive cadaverous-smelling stool; involuntary; worse after eating or drinking,Arsenicum album,White Arsenic,30C,3–5 pellets,Every 2–3 hrs,Warmth,"Midnight, cold, after eating",Burning in rectum; exhaustion; anxiety; restlessness; thirst for sips,Psora,White arsenic trioxide,"Key: burning, restless, anxious + exhausted",
Infections,Sepsis – early stage,Early signs of blood poisoning; foul smelling discharge; hectic fever,Pyrogen,Pyrogenium,30C,3–5 pellets,Every 2–4 hrs (alongside conventional treatment),Motion,,Bed feels hard; rapid pulse with low fever or slow pulse with high fever (discrepancy),Syphilis,Decomposed meat preparation,Pulse/temperature discrepancy is keynote; NOT a replacement for antibiotics,
Trauma,Post-surgical recovery,After surgery; prevents sepsis; promotes healing; reduces bruising from incisions,Staphysagria,Stavesacre,30C,3–5 pellets,Twice daily for 1 week post surgery,,,Incised wounds; consequences of surgical procedures; indignation; hypersensitivity,Psora,Seeds Delphinium staphisagria,Classic post-surgical remedy after Arnica,
Respiratory,Rattling loose cough,Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am,Antimonium tartaricum,Tartar Emetic,30C,3–5 pellets,Every 2–3 hrs,"Sitting up, eructation","Lying down, 4 am, warmth",Rattling chest; extreme weakness; pale and sweaty,Sycosis,Tartrate of antimony and potash,Keynote: rattling with inability to raise mucus,
Respiratory,Croup,Barking croupy cough; worse before midnight; child wakes frightened,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute phase,"Cool air, rest","Midnight, cold dry wind",Sudden onset after cold dry wind exposure; fear and anxiety,Psora,Fresh plant Aconitum napellus,Often alternated with Hepar sulph,
Neurological,Neuralgia – facial,"Severe facial neuralgia; worse cold, drafts, touch; better warmth",Magnesia phosphorica,Magnesium Phosphate,30C – dissolved in warm water,3–5 pellets,Every 15–30 min in acute,"Warmth, pressure, bending double","Cold, touch, night",Cramping neuralgic pains; better hot water; right-sided,Psora,Magnesium phosphate salt,Biochemic anti-spasmodic,
Digestive,Acute indigestion,Heartburn; sour eructations; nausea; worse after eating; better vomiting,Nux vomica,Poison Nut,30C,3–5 pellets,"3 times daily, after meals","Vomiting, open air","After eating, morning, cold",Oversensitive; irritable; sedentary; overindulgence in food/drink/coffee,Psora,Seeds Strychnos nux-vomica,Classic remedy for over-indulgence,
Trauma,Post-surgical recovery,After surgery; prevents sepsis; promotes healing; reduces bruising from incisions,Staphysagria,Stavesacre,30C,3–5 pellets,Twice daily for 1 week post surgery,,,Incised wounds; consequences of surgical procedures; indignation; hypersensitivity,Psora,Seeds Delphinium staphisagria,Classic post-surgical remedy after Arnica,
Skin,Eczema – weeping,Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,
Musculoskeletal,Backache – lumbar,"Lower back pain; worse first motion, better continued motion; worse cold damp",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,
Women's Health,Menopause – hot flushes,Hot flushes; sweating; irritability; fatigue; worse before menses,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,Twice daily,"Cold application, open air","Sleep, touch, pressure, hot drinks",Left-sided; worse after sleep; talkative; suspicious; jealous; heat flushes,Syphilis,Venom Lachesis muta snake,Classic menopausal remedy,
Neurological,Headache – tension,Dull heavy headache; pressure at base of skull; from overwork; better sleep,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily,"Urination, stimulants, sleep","Damp, anticipation, emotional shock",Band-like headache; heavy eyelids; dizziness; weakness; no thirst,Psora,Root bark Gelsemium sempervirens,Exam anxiety headache,
